Year,Country,ISO Code,CAP Budget (EUR Million),Export Value (EUR Million),CAP Efficiency,Organic Livestock (Head),Farm Labour Force (Person),Farm Land Use (Hectare)
2016,France,FR,13928.34829839,54192.5,3.890805918908863,573623.0,859750.0,29152430.0
2017,France,FR,16429.086034680004,56413.6,3.4337637456470227,649856.0,835352.5,29237212.5
2018,France,FR,17186.955205516108,57607.2,3.351797878748827,751382.0,810955.0,29321995.0
2019,France,FR,17019.02764959,59625.6,3.503466897618938,830921.0,786557.5,29406777.5
2020,France,FR,17218.375020950003,57178.3,3.320772136187638,860308.0,762160.0,29491560.0
2021,France,FR,9301.6507982,64028.2,6.883530825774534,1238517.0,746740.0,29446113.333333332
2022,France,FR,9472.157140050009,76193.5,8.0439438317424,1269301.0,731320.0,29400666.666666668
2023,France,FR,9582.77051795001,74821.0,7.807867240465448,1230696.0,715900.0,29355220.0
2024,France,FR,9643.54997036,75628.4,7.842381719641438,1022337.0,715900.0,29355220.0
2016,Germany,DE,11384.549371639989,65784.2,5.778375397437758,700356.0,653760.0,18417450.0
2017,Germany,DE,11053.094720479992,68174.5,6.1679105919251045,788561.0,652417.5,18391680.0
2018,Germany,DE,11106.92919314107,66976.8,6.030181595229814,771320.0,651075.0,18365910.0
2019,Germany,DE,11002.117977324255,69312.5,6.29992335501723,870372.0,649732.5,18340140.0
2020,Germany,DE,10996.71835454,68093.2,6.1921382183883695,861272.0,648390.0,18314370.0
2021,Germany,DE,5943.774009639999,71376.7,12.00864970374658,896760.0,638010.0,18287556.666666668
2022,Germany,DE,6385.8813848400105,85048.4,13.318192881236984,965909.0,627630.0,18260743.333333332
2023,Germany,DE,6401.3710434800205,89500.9,13.981520426184204,949300.0,617250.0,18233930.0
2024,Germany,DE,6193.55020272001,93071.4,15.027148719828896,814100.0,617250.0,18233930.0
2016,Hungary,HU,2982.4490312100015,6637.1,2.2253858927833146,20815.0,814420.0,6115250.0
2017,Hungary,HU,2822.487837099999,7312.9,2.590941191623958,17741.0,729887.5,6172427.5
2018,Hungary,HU,3027.18031563,7163.8,2.366492660847363,18964.0,645355.0,6229605.0
2019,Hungary,HU,3120.5517972099997,7593.8,2.4334798758313867,27007.0,560822.5,6286782.5
2020,Hungary,HU,2973.6192385199997,7929.9,2.6667503012076255,26087.0,476290.0,6343960.0
2021,Hungary,HU,1887.33200339,8626.0,4.570473019323625,27810.0,443276.6666666667,6411913.333333333
2022,Hungary,HU,1985.44041918,10219.2,5.147069587825052,23216.0,410263.3333333333,6479866.666666667
2023,Hungary,HU,2206.23371814,10870.3,4.927084519932175,22536.0,377250.0,6547820.0
2024,Hungary,HU,1919.1162409800002,11282.9,5.879216568058622,22285.0,377250.0,6547820.0
2016,Ireland,IE,2850.82225592,11405.8,4.000880790205277,52742.0,265180.0,5121460.0
2017,Ireland,IE,2714.367008280001,12708.3,4.6818650393385095,56873.0,267625.0,5144835.0
2018,Ireland,IE,2759.99766822,12585.4,4.559931388680005,61819.0,270070.0,5168210.0
2019,Ireland,IE,2719.1188281899995,13435.8,4.941233115929558,64093.0,272515.0,5191585.0
2020,Ireland,IE,2841.79852063,13009.1,4.577769995149412,58659.0,274960.0,5214960.0
2021,Ireland,IE,1531.0074249800002,13818.0,9.025429775548284,59291.0,283180.0,5248350.0
2022,Ireland,IE,1578.88541322,16720.2,10.589875528649417,59436.0,291400.0,5281740.0
2023,Ireland,IE,1516.41216431,16327.1,10.766927609967558,80166.0,299620.0,5315130.0
2024,Ireland,IE,1527.99507643,17233.2,11.278308592632094,81365.0,299620.0,5315130.0
2016,Italy,IT,9085.51443939,34771.4,3.8271250606624485,331431.0,2045410.0,16172960.0
2017,Italy,IT,8929.119864779994,37516.2,4.201556320010759,336278.0,1993200.0,16165510.0
2018,Italy,IT,8799.991859709784,38299.8,4.352254025978508,375414.0,1940990.0,16158060.0
2019,Italy,IT,9202.06254217849,41306.7,4.488852342685891,389665.0,1888780.0,16150610.0
2020,Italy,IT,9171.73294782,42605.9,4.645348947946294,397187.0,1836570.0,16143160.0
2021,Italy,IT,5357.08526583,47822.8,8.927018635494983,409332.0,1843146.6666666667,16076223.333333334
2022,Italy,IT,5656.91150381001,54719.1,9.672963765324225,452320.0,1849723.3333333333,16009286.666666666
2023,Italy,IT,6056.03735619001,58315.1,9.629250377789504,469345.0,1856300.0,15942350.0
2024,Italy,IT,5954.98358296001,62267.8,10.456418415355044,485536.0,1856300.0,15942350.0
2016,Latvia,LV,550.6619873699999,1986.9,3.6082025735779824,92546.0,162630.0,2855150.0
2017,Latvia,LV,600.2783271499999,2414.5,4.022300807466359,95585.0,160740.0,2799785.0
2018,Latvia,LV,667.0821200400001,2488.3,3.73012546019191,96423.0,158850.0,2744420.0
2019,Latvia,LV,715.38767512,2874.7,4.018380662649513,99041.0,156960.0,2689055.0
2020,Latvia,LV,711.1242981700001,2986.3,4.199406499939482,101968.0,155070.0,2633690.0
2021,Latvia,LV,421.39016093000004,3028.8,7.187638157747909,102422.0,151336.66666666666,2592323.3333333335
2022,Latvia,LV,430.40411971000003,4242.0,9.855853616963977,87822.0,147603.33333333334,2550956.6666666665
2023,Latvia,LV,483.45609945,4477.9,9.262268084101631,78541.0,143870.0,2509590.0
2024,Latvia,LV,472.94603048,4067.4,8.60013561351162,95708.0,143870.0,2509590.0
2016,Lithuania,LT,1157.4368959699998,3953.7,3.415909769047554,37814.0,255570.0,3025550.0
2017,Lithuania,LT,1154.9854014199996,4367.8,3.781692820212271,57270.0,251877.5,3018410.0
2018,Lithuania,LT,1204.1372335770993,4473.5,3.7151081083263984,57884.0,248185.0,3011270.0
2019,Lithuania,LT,1106.181244120167,4901.7,4.431190662519962,58356.0,244492.5,3004130.0
2020,Lithuania,LT,1159.4776696499998,5393.2,4.651404801636233,58737.0,240800.0,2996990.0
2021,Lithuania,LT,705.73082146,5275.8,7.475654795812296,59151.0,231026.66666666666,2966893.3333333335
2022,Lithuania,LT,824.999765319999,6753.7,8.186305358984423,57891.0,221253.33333333334,2936796.6666666665
2023,Lithuania,LT,845.7149012199999,7051.8,8.33827095848413,60981.0,211480.0,2906700.0
2024,Lithuania,LT,865.92675105,6572.4,7.590018430577968,61396.0,211480.0,2906700.0
2016,Luxembourg,LU,90.64006315999997,1080.1,11.916364158897176,3873.0,4780.0,137230.0
2017,Luxembourg,LU,54.93488266,1148.2,20.901109539204395,4177.0,4752.5,137490.0
2018,Luxembourg,LU,89.91705046662054,1222.1,13.591415573108396,4956.0,4725.0,137750.0
2019,Luxembourg,LU,99.53517844999999,1189.7,11.952558065665478,4814.0,4697.5,138010.0
2020,Luxembourg,LU,97.83777681,1163.7,11.894178689892904,5111.0,4670.0,138270.0
2021,Luxembourg,LU,60.689188189999996,1273.1,20.977377321546932,4945.0,4680.0,138216.66666666666
2023,Luxembourg,LU,51.06412525,1667.1,32.64718609862019,7296.0,4700.0,138110.0
2024,Luxembourg,LU,47.81398286,1723.0,36.035483700342795,7283.0,4700.0,138110.0
2016,Malta,MT,17.323189879999997,265.0,15.297413573117288,0.0,15420.0,7960.0
2017,Malta,MT,13.8336549,280.0,20.240493349302792,0.0,14135.0,7655.0
2018,Malta,MT,20.13770604,351.4,17.44985249571157,0.0,12850.0,7350.0
2019,Malta,MT,31.128446079999996,292.9,9.409399982487015,0.0,11565.0,7045.0
2020,Malta,MT,27.03616006,289.7,10.715279069109046,0.0,10280.0,6740.0
2021,Malta,MT,19.94799816,261.5,13.109084826584924,0.0,10993.333333333334,6610.0
2022,Malta,MT,15.30424542,388.5,25.385113041398153,0.0,11706.666666666666,6480.0
2023,Malta,MT,19.748203760000003,323.4,16.376172938576158,0.0,12420.0,6350.0
2024,Malta,MT,36.819115249999996,337.4,9.163718294398723,0.0,12420.0,6350.0
2016,Netherlands,NL,1608.9658085400008,69617.4,43.268414798181354,60150.0,172660.0,1959310.0
2017,Netherlands,NL,1694.1114960300006,73355.6,43.30033777109849,65189.0,173432.5,1954407.5
2018,Netherlands,NL,1619.7328855248625,74190.0,45.803848685803075,71715.0,174205.0,1949505.0
2019,Netherlands,NL,1492.6952153814175,77374.3,51.83529712073815,71817.0,174977.5,1944602.5
2020,Netherlands,NL,1509.85267596,76713.3,50.80846709181336,76069.0,175750.0,1939700.0
2021,Netherlands,NL,868.16657046,82448.6,94.96864173923954,79300.0,179016.66666666666,1960086.6666666667
2022,Netherlands,NL,826.8845535199999,97903.0,118.39984140861328,80250.0,182283.33333333334,1980473.3333333333
2023,Netherlands,NL,871.80632377,101548.1,116.48011402448881,84438.0,185550.0,2000860.0
2024,Netherlands,NL,978.24327574,108893.7,111.31556198802029,87758.0,185550.0,2000860.0
2016,Poland,PL,8288.189898470002,22921.0,2.765501307376079,29107.0,3088250.0,15214080.0
2017,Poland,PL,7539.024592890003,26532.6,3.5193677475230274,27901.0,2994695.0,15367415.0
2018,Poland,PL,7813.793037129999,28305.7,3.62253003957175,26953.0,2901140.0,15520750.0
2019,Poland,PL,7932.02563081,30176.7,3.8044128201989214,30186.0,2807585.0,15674085.0
2020,Poland,PL,7882.94790622,32413.6,4.111862768295628,31102.0,2714030.0,15827420.0
2021,Poland,PL,4772.64071945,35506.3,7.439550154131811,31195.0,2613400.0,15696193.333333334
2022,Poland,PL,4793.0522773,44342.5,9.251411717332408,29283.0,2512770.0,15564966.666666666
2023,Poland,PL,5088.38539971,48916.8,9.613422757401178,29222.0,2412140.0,15433740.0
2024,Poland,PL,4788.887967680001,51071.6,10.664605299743915,28801.0,2412140.0,15433740.0
2016,Portugal,PT,2166.9858232300003,5607.9,2.5878803358487805,80152.0,603720.0,4550170.0
2017,Portugal,PT,1968.4559840399997,5937.4,3.0162726767271977,86881.0,614800.0,4669800.0
2018,Portugal,PT,2040.3209327200002,6118.8,2.9989399715871574,93191.0,625880.0,4789430.0
2019,Portugal,PT,2020.80698051,6300.5,3.117813853953491,95306.0,636960.0,4909060.0
2020,Portugal,PT,2128.7904334199998,6402.2,3.0074355368623915,92673.0,648040.0,5028690.0
2021,Portugal,PT,1248.76275347,7169.8,5.74152294347098,95650.0,640960.0,4986043.333333333
2022,Portugal,PT,1440.6039467399992,8336.0,5.786462003567234,100084.0,633880.0,4943396.666666667
2023,Portugal,PT,1517.02138817,8911.2,5.874142625470616,204107.0,626800.0,4900750.0
2024,Portugal,PT,1499.51037268,9294.8,6.198556655121943,200660.0,626800.0,4900750.0
2016,Romania,RO,4278.6165141400015,4831.8,1.1292902703553436,20093.0,6061200.0,11938270.0
2017,Romania,RO,5145.198037579998,4923.6,0.9569310965367187,19339.0,5672017.5,11969332.5
2018,Romania,RO,4771.8435003800005,5063.9,1.0612041236467085,16872.0,5282835.0,12000395.0
2019,Romania,RO,4569.08892148,5864.1,1.283428731805142,19358.0,4893652.5,12031457.5
2020,Romania,RO,5088.643809560001,5849.9,1.149599032459264,19870.0,4504470.0,12062520.0
2021,Romania,RO,3166.1493072599997,7692.6,2.429639051563621,23339.0,4508970.0,11771993.333333334
2022,Romania,RO,2995.3547753099997,9271.3,3.095226006755904,26415.0,4513470.0,11481466.666666666
2023,Romania,RO,3279.9284878099998,9667.9,2.947594752730488,27391.0,4517970.0,11190940.0
2024,Romania,RO,3065.77920172,9039.7,2.9485815530774167,30703.0,4517970.0,11190940.0
2016,Slovakia,SK,998.57216434,2444.5,2.4479953350348764,65724.0,79180.0,3065380.0
2017,Slovakia,SK,1056.15891074,2477.1,2.3453856941512847,55906.0,75557.5,3053095.0
2018,Slovakia,SK,1096.85102939,2446.8,2.230749604493472,63340.0,71935.0,3040810.0
2019,Slovakia,SK,1121.9165251693607,2619.2,2.3345765404468164,61432.0,68312.5,3028525.0
2020,Slovakia,SK,1105.98875209,2706.1,2.4467699105314145,61977.0,64690.0,3016240.0
2021,Slovakia,SK,534.61811016,3096.8,5.792546008352004,59636.0,61943.333333333336,2978813.3333333335
2022,Slovakia,SK,573.08178915,4117.3,7.1844893311072,60664.0,59196.666666666664,2941386.6666666665
2023,Slovakia,SK,577.0402743,4459.1,7.727536878442803,78123.0,56450.0,2903960.0
2024,Slovakia,SK,650.94391349,4566.0,7.014429208685034,82964.0,56450.0,2903960.0
2016,Slovenia,SI,422.54978168,1563.1,3.699209105694786,33397.0,196040.0,818490.0
2017,Slovenia,SI,369.5664080600001,1707.9,4.621361581441996,35095.0,195715.0,813677.5
2018,Slovenia,SI,392.29292996999993,1927.4,4.913165272051667,35751.0,195390.0,808865.0
2019,Slovenia,SI,405.08547985,2014.7,4.973518183732549,37126.0,195065.0,804052.5
2020,Slovenia,SI,406.08812926999997,2043.8,5.032897670941565,37904.0,194740.0,799240.0
2021,Slovenia,SI,258.89193243,2496.9,9.644564728470709,38836.0,187876.66666666666,798230.0
2022,Slovenia,SI,269.35980014999996,3057.6,11.351359773423118,39583.0,181013.33333333334,797220.0
2023,Slovenia,SI,290.56954182999993,3428.9,11.800617430185115,39438.0,174150.0,796210.0
2024,Slovenia,SI,320.06961309,3226.2,10.079682256787144,40756.0,174150.0,796210.0
2016,Spain,ES,11369.193895530001,40042.1,3.5219823294370287,199737.0,1866210.0,29739430.0
2017,Spain,ES,10875.54754097001,42290.7,3.8886042142415214,207121.0,1831995.0,29519957.5
2018,Spain,ES,11531.123355189084,43323.2,3.757066737171298,212066.0,1797780.0,29300485.0
2019,Spain,ES,12284.789285680712,46833.7,3.8123323820124355,215802.0,1763565.0,29081012.5
2020,Spain,ES,12585.04962563,48541.8,3.8571004043672996,219769.0,1729350.0,28861540.0
2021,Spain,ES,6648.8247802900005,53004.9,7.972070516451194,264259.0,1711670.0,28425490.0
2022,Spain,ES,6767.120209349991,59180.3,8.745270982216601,275786.0,1693990.0,27989440.0
2023,Spain,ES,6921.48093387001,62470.2,9.025554010313659,316358.0,1676310.0,27553390.0
2024,Spain,ES,6783.565323850001,65864.5,9.709422236774262,311165.0,1676310.0,27553390.0
2016,Sweden,SE,1617.92399395,8485.6,5.244745755505643,296260.0,129280.0,6357980.0
2017,Sweden,SE,1369.6137091499997,8370.2,6.111358220263914,307120.0,128050.0,6476597.5
2018,Sweden,SE,1588.4367167000003,8659.3,5.451460488768994,332294.0,126820.0,6595215.0
2019,Sweden,SE,1643.75246549,8870.5,5.396493806843184,333245.0,125590.0,6713832.5
2020,Sweden,SE,1723.42538215,9018.2,5.232718569312039,331735.0,124360.0,6832450.0
2021,Sweden,SE,1005.8441022899999,9805.2,9.748230344718982,329851.0,123350.0,6863173.333333333
2022,Sweden,SE,1004.9711270700001,11680.7,11.622920982869585,325162.0,122340.0,6893896.666666667
2023,Sweden,SE,994.24427072,12077.7,12.147618402923976,289324.0,121330.0,6924620.0
2024,Sweden,SE,912.6294503,11830.8,12.963421239705745,258661.0,121330.0,6924620.0
